#   " Nb "       " TEMPS "

      7           0.006729
      7           0.007232
      7           0.006813
      7           0.004049
      8           0.004545
      7           0.003096
      7           0.00324
      7           0.00256
      7           0.004183
      7           0.004255
      7           0.003921
      7           0.003764
      7           0.0042
      7           0.004555
      7           0.004754
      7           0.004347
      7           0.004753
      7           0.002658
      7           0.002964
      7           0.003133
      7           0.00401
      7           0.004327
      7           0.0045
      7           0.004243
      7           0.003725
      7           0.003828
      7           0.004993
      7           0.005396
      7           0.005485
